graph_id,u,scc_size,scc_edges_inside,scc_edges_to_other,scc_largest_path_sum,scc_longest_dfs_path,outdegree_inside_scc,outdegree_outside_scc,indegree_inside_scc,longest_path_using_dfs_paths,first_dfs_path_used,y
0,0,30,279,0,30,30,9,0,14,30,30,30
0,1,30,279,0,30,30,5,0,9,30,30,30
0,2,30,279,0,30,30,4,0,10,24,24,24
0,3,30,279,0,30,30,10,0,6,24,24,24
0,4,30,279,0,30,30,10,0,9,25,25,25
0,5,30,279,0,30,30,10,0,8,22,22,22
0,6,30,279,0,30,30,9,0,9,27,27,27
0,7,30,279,0,30,30,10,0,8,23,23,23
0,8,30,279,0,30,30,10,0,12,29,29,29
0,9,30,279,0,30,30,8,0,5,24,24,24
0,10,30,279,0,30,30,10,0,6,24,24,24
0,11,30,279,0,30,30,5,0,6,28,28,28
0,12,30,279,0,30,30,12,0,8,18,18,18
0,13,30,279,0,30,30,6,0,11,29,29,29
0,14,30,279,0,30,30,9,0,7,14,14,14
0,15,30,279,0,30,30,5,0,15,29,29,29
0,16,30,279,0,30,30,8,0,10,25,25,25
0,17,30,279,0,30,30,12,0,8,19,19,19
0,18,30,279,0,30,30,9,0,7,5,5,5
0,19,30,279,0,30,30,8,0,9,14,14,14
0,20,30,279,0,30,30,5,0,12,15,15,15
0,21,30,279,0,30,30,7,0,13,13,13,13
0,22,30,279,0,30,30,9,0,10,17,17,17
0,23,30,279,0,30,30,9,0,6,10,10,10
0,24,30,279,0,30,30,15,0,14,9,9,9
0,25,30,279,0,30,30,10,0,12,6,6,6
0,26,30,279,0,30,30,14,0,8,5,5,5
0,27,30,279,0,30,30,15,0,9,4,4,4
0,28,30,279,0,30,30,14,0,9,9,9,9
0,29,30,279,0,30,30,12,0,9,18,18,18
1,0,30,235,0,30,30,8,0,5,30,30,30
1,1,30,235,0,30,30,5,0,9,27,27,27
1,2,30,235,0,30,30,11,0,11,30,30,30
1,3,30,235,0,30,30,10,0,8,28,28,28
1,4,30,235,0,30,30,6,0,8,24,24,24
1,5,30,235,0,30,30,8,0,9,26,26,26
1,6,30,235,0,30,30,6,0,9,27,27,27
1,7,30,235,0,30,30,7,0,9,29,29,29
1,8,30,235,0,30,30,9,0,7,26,26,26
1,9,30,235,0,30,30,5,0,5,27,27,27
1,10,30,235,0,30,30,7,0,7,20,20,20
1,11,30,235,0,30,30,11,0,9,25,25,25
1,12,30,235,0,30,30,5,0,6,23,23,23
1,13,30,235,0,30,30,6,0,5,5,5,5
1,14,30,235,0,30,30,7,0,8,23,23,23
1,15,30,235,0,30,30,8,0,7,27,27,27
1,16,30,235,0,30,30,6,0,10,6,6,6
1,17,30,235,0,30,30,6,0,8,26,26,26
1,18,30,235,0,30,30,7,0,11,21,21,21
1,19,30,235,0,30,30,11,0,8,11,11,11
1,20,30,235,0,30,30,7,0,7,20,20,20
1,21,30,235,0,30,30,8,0,8,24,24,24
1,22,30,235,0,30,30,10,0,7,18,18,18
1,23,30,235,0,30,30,6,0,8,14,14,14
1,24,30,235,0,30,30,9,0,11,19,19,19
1,25,30,235,0,30,30,10,0,5,4,4,4
1,26,30,235,0,30,30,8,0,7,12,12,12
1,27,30,235,0,30,30,6,0,9,16,16,16
1,28,30,235,0,30,30,12,0,7,7,7,7
1,29,30,235,0,30,30,10,0,7,9,9,9
2,0,30,254,0,30,30,6,0,9,30,30,30
2,1,30,254,0,30,30,10,0,11,29,29,29
2,2,30,254,0,30,30,9,0,11,30,30,30
2,3,30,254,0,30,30,5,0,10,30,30,30
2,4,30,254,0,30,30,11,0,15,28,28,28
2,5,30,254,0,30,30,12,0,9,25,25,25
