scc_size,number_of_edges_inside_scc,number_of_edges_to_other_sccs,scc_largest_path_sum,scc_longest_dfs_path,outdegree_inside_scc,outdegree_outside_scc,indegree_inside_scc,longest_path_using_dfs_paths,first_dfs_path_used,longest_path
1,0,1,5,1,0,1,0,4,1,4
5,7,1,6,5,1,0,1,5,5,5
6,9,1,7,6,1,0,2,6,6,6
6,9,1,7,6,1,0,2,6,5,6
6,9,2,7,6,1,0,2,6,5,6
1,0,1,6,1,0,1,0,5,1,5
5,7,1,7,5,1,0,1,5,3,5
5,7,2,7,5,1,0,1,6,5,6
6,9,1,8,6,1,0,2,6,6,6
6,9,2,8,6,1,0,2,6,5,6
6,9,1,7,6,1,0,1,6,6,6
6,9,1,7,6,1,0,1,6,5,6
6,9,2,7,6,1,0,1,6,5,6
7,11,0,7,7,1,0,2,6,6,6
7,11,1,8,7,1,0,2,6,6,6
7,11,1,8,7,1,0,2,6,5,6
7,11,2,8,7,1,0,2,6,5,6
7,11,1,8,7,1,0,1,7,7,7
7,11,1,8,7,1,0,1,7,7,7
7,11,2,8,7,1,0,1,7,7,7
8,13,1,9,8,1,0,1,8,8,8
8,13,1,9,8,1,0,1,8,8,8
8,13,2,9,8,1,0,1,8,8,8
8,13,0,8,8,1,0,2,7,7,7
8,13,1,9,8,1,0,2,7,7,7
8,13,1,9,8,1,0,2,7,7,7
8,13,2,9,8,1,0,2,7,7,7
9,15,0,9,9,1,0,2,8,8,8
9,15,1,10,9,1,0,2,8,8,8
9,15,1,10,9,1,0,2,8,8,8
9,15,2,10,9,1,0,2,8,8,8
6,9,1,8,6,1,0,1,6,6,6
6,9,2,8,6,1,0,1,6,5,6
7,11,1,9,7,1,0,2,6,6,6
7,11,2,9,7,1,0,2,6,5,6
7,11,1,9,7,1,0,1,7,7,7
7,11,2,9,7,1,0,1,7,7,7
8,13,1,10,8,1,0,1,8,8,8
8,13,2,10,8,1,0,1,8,8,8
8,13,1,10,8,1,0,2,7,7,7
8,13,2,10,8,1,0,2,7,7,7
9,15,1,11,9,1,0,2,8,8,8
9,15,2,11,9,1,0,2,8,8,8
1,0,1,5,1,0,1,0,4,1,4
1,0,1,5,1,0,1,0,4,1,4
5,7,1,6,5,1,0,1,5,5,5
5,7,2,6,5,1,0,1,5,5,5
6,9,1,7,6,1,0,2,6,6,6
6,9,2,7,6,1,0,2,6,6,6
6,9,2,7,6,1,0,2,6,5,6
6,9,3,7,6,1,0,2,6,5,6
1,0,1,6,1,0,1,0,5,1,5
1,0,1,7,1,0,1,0,6,1,6
5,7,1,7,5,1,0,1,5,3,5
5,7,2,8,5,1,0,1,6,3,6
5,7,2,7,5,1,0,1,6,5,6
5,7,3,8,5,1,0,1,6,3,6
6,9,1,8,6,1,0,2,6,6,6
6,9,2,9,6,1,0,2,6,3,6
6,9,2,8,6,1,0,2,6,5,6
6,9,3,9,6,1,0,2,6,3,6
1,0,1,6,1,0,1,0,5,1,5
6,9,1,7,6,1,0,1,6,6,6
7,11,1,8,7,1,0,2,7,7,7
7,11,1,8,7,1,0,2,7,6,7
7,11,2,8,7,1,0,2,7,6,7
1,0,1,6,1,0,1,0,5,1,5
1,0,1,7,1,0,1,0,6,1,6
6,9,1,7,6,1,0,1,6,6,6
6,9,2,8,6,1,0,1,6,4,6
6,9,3,8,6,1,0,1,7,6,7
7,11,1,8,7,1,0,2,7,7,7
7,11,2,9,7,1,0,2,7,7,7
7,11,2,8,7,1,0,2,7,6,7
7,11,3,9,7,1,0,2,7,6,7
1,0,1,6,1,0,1,0,5,1,5
1,0,1,7,1,0,1,0,5,1,5
7,12,0,7,6,1,0,1,6,6,6
7,12,1,8,6,1,0,1,6,6,6
7,12,1,8,6,1,0,1,7,6,7
7,12,2,8,6,1,0,1,7,6,7
8,14,0,8,7,1,0,2,7,7,7
8,14,1,9,7,1,0,2,7,7,7
8,14,1,9,7,1,0,2,7,6,7
8,14,2,9,7,1,0,2,7,6,7
1,0,1,7,1,0,1,0,5,1,5
