scc_size,number_of_edges_inside_scc,number_of_edges_to_other_sccs,scc_largest_path_sum,scc_longest_dfs_path,outdegree_inside_scc,outdegree_outside_scc,indegree_inside_scc,longest_path_using_dfs_paths,first_dfs_path_used,longest_path
56,3080,57,98,56,55,1,55,65,23,96
9,19,2,11,8,2,0,2,8,6,8
1,0,1,93,1,0,1,0,93,1,91
12,27,3,13,12,2,0,4,11,10,13
11,21,0,11,11,3,0,3,7,7,11
13,30,0,13,12,2,0,3,6,6,11
1,0,1,43,1,0,1,0,43,1,42
1,0,1,264,1,0,1,0,264,1,262
1,0,1,311,1,0,1,0,311,1,309
12,27,1,13,11,1,0,1,11,11,11
11,25,0,11,9,2,0,1,9,9,10
108,11556,109,173,108,107,2,107,173,108,171
1,0,1,237,1,0,1,0,237,1,235
10,21,4,12,10,2,0,3,9,7,11
62,3782,63,161,62,61,1,61,140,41,159
1,0,1,48,1,0,1,0,48,1,46
1,0,1,140,1,0,1,0,140,1,139
37,1332,38,40,37,36,1,36,11,8,38
9,17,3,12,8,1,0,2,8,5,10
1,0,1,22,1,0,1,0,22,1,21
1,0,1,261,1,0,1,0,261,1,259
10,18,1,11,9,3,0,2,7,6,11
10,20,2,11,7,1,0,3,7,6,8
1,0,1,14,1,0,1,0,14,1,13
5,7,7,11,5,1,1,3,8,4,8
9,17,1,10,9,1,0,2,9,9,9
6,9,1,8,6,1,0,2,6,4,6
1,0,1,47,1,0,1,0,47,1,45
1,0,1,45,1,0,1,0,45,1,44
8,14,2,9,7,1,0,2,7,7,7
1,0,1,14,1,0,1,0,14,1,13
11,18,2,13,10,2,0,1,10,10,10
13,32,0,13,13,2,0,2,7,7,13
3,3,1,5,3,1,1,1,3,1,3
1,0,1,221,1,0,1,0,221,1,219
11,26,0,11,10,3,0,2,7,7,10
10,23,1,11,10,1,0,2,10,9,10
1,0,1,70,1,0,1,0,70,1,68
10,21,2,12,9,2,0,3,9,9,10
15,40,4,17,15,3,0,4,7,5,16
8,14,4,10,8,2,0,2,7,5,7
1,0,1,61,1,0,1,0,61,1,59
9,14,3,10,9,1,0,2,7,6,7
1,0,1,82,1,0,1,0,82,1,80
1,0,1,175,1,0,1,0,175,1,173
108,11556,109,173,108,107,1,107,138,73,171
1,0,1,303,1,0,1,0,303,1,301
10,20,2,12,10,3,0,2,8,7,9
1,0,1,130,1,0,1,0,130,1,128
13,34,3,15,13,3,0,3,6,4,14
81,6480,82,200,81,80,1,80,149,30,198
65,4160,66,145,65,64,1,64,126,46,143
18,306,19,45,18,17,1,17,37,10,43
1,0,1,18,1,0,1,0,18,1,17
12,27,5,14,12,2,0,4,12,10,14
1,0,1,284,1,0,1,0,284,1,282
85,7140,86,132,85,84,1,84,90,43,130
1,0,1,153,1,0,1,0,153,1,151
10,19,5,12,9,1,0,3,9,7,9
9,19,0,9,9,2,0,2,7,7,9
11,24,1,12,10,2,0,2,10,10,12
1,0,1,205,1,0,1,0,205,1,203
1,0,1,47,1,0,1,0,47,1,46
1,0,1,88,1,0,1,0,88,1,86
7,12,2,8,6,1,0,2,6,5,6
1,0,2,9,1,0,2,0,8,1,9
1,0,1,40,1,0,1,0,40,1,39
1,0,1,97,1,0,1,0,97,1,96
1,0,1,52,1,0,1,0,52,1,50
11,23,4,13,10,2,0,2,7,5,11
8,16,1,9,8,1,0,2,8,8,8
54,2862,55,80,54,53,1,53,63,37,78
10,25,2,11,10,2,0,3,10,10,10
137,18632,138,284,137,136,1,136,172,25,282
5,7,4,10,5,1,1,3,6,1,6
12,30,4,13,11,3,0,4,7,6,11
19,342,20,157,19,18,1,18,157,19,155
1,0,1,174,1,0,1,0,174,1,172
1,0,1,107,1,0,1,0,107,1,106
1,0,1,201,1,0,1,0,201,1,199
10,20,2,11,10,1,0,2,9,9,9
1,0,1,64,1,0,1,0,64,1,63
82,6642,83,117,82,81,1,81,66,31,115
8,14,2,9,8,1,0,2,8,7,8
1,0,1,122,1,0,1,0,122,1,121
24,552,25,69,24,23,1,23,55,10,67
1,0,1,111,1,0,1,0,111,1,110
91,8190,92,121,91,90,1,90,73,43,119
14,41,4,16,14,3,0,4,9,7,16
1,0,1,108,1,0,1,0,108,1,106
1,0,1,66,1,0,1,0,66,1,64
1,0,1,86,1,0,1,0,86,1,85
32,992,33,109,32,31,1,31,109,32,107
1,0,1,228,1,0,1,0,228,1,226
24,552,25,25,24,23,1,23,24,23,23
1,0,1,130,1,0,1,0,130,1,128
7,12,6,10,7,2,1,2,8,7,8
10,20,3,11,9,3,0,2,6,5,9
1,0,1,117,1,0,1,0,117,1,115
1,0,1,67,1,0,1,0,67,1,66
1,0,1,38,1,0,1,0,38,1,37
9,20,2,10,9,2,0,1,7,6,10
7,9,6,10,7,1,0,2,8,5,8
9,19,3,11,8,3,0,1,6,4,9
1,0,1,8,1,0,1,0,8,1,7
10,22,1,11,9,1,0,3,9,8,9
1,0,1,15,1,0,1,0,15,1,14
1,0,1,58,1,0,1,0,58,1,56
7,12,3,9,7,2,0,3,6,4,6
1,0,1,54,1,0,1,0,54,1,53
1,0,1,198,1,0,1,0,198,1,196
7,12,2,8,7,1,0,2,7,7,7
1,0,1,20,1,0,1,0,20,1,18
7,10,4,11,7,1,1,3,9,6,9
10,17,6,11,10,1,0,2,9,8,9
1,0,1,94,1,0,1,0,94,1,92
1,0,1,52,1,0,1,0,52,1,51
9,16,4,10,9,3,0,2,6,6,9
5,7,7,10,5,1,0,2,8,4,8
